,agg_y_rate,type,preds_dec,set,subject,model_name,dataset_name
97,13,1,0.026486974,test,1,early_integration,easy
98,13,2,0.07392552,test,1,early_integration,easy
99,13,3,0.0330842,test,1,early_integration,easy
100,13,4,0.009687147,test,1,early_integration,easy
101,13,5,0.012688782,test,1,early_integration,easy
102,14,1,0.91107607,test,1,early_integration,easy
103,14,2,0.9244927,test,1,early_integration,easy
104,14,3,0.9553689,test,1,early_integration,easy
105,14,4,0.9488841,test,1,early_integration,easy
106,14,5,0.95217806,test,1,early_integration,easy
107,15,1,0.98198044,test,1,early_integration,easy
108,15,2,0.991027,test,1,early_integration,easy
109,15,3,0.9919313,test,1,early_integration,easy
110,15,4,0.9936964,test,1,early_integration,easy
111,15,5,0.99422663,test,1,early_integration,easy
112,16,1,0.99968237,test,1,early_integration,easy
113,16,2,0.9999997,test,1,early_integration,easy
114,16,3,0.9994546,test,1,early_integration,easy
115,16,4,0.9998452,test,1,early_integration,easy
116,11,1,0.00016929083,train,2,early_integration,easy
117,11,2,0.00013148447,train,2,early_integration,easy
118,11,3,2.2064664e-06,train,2,early_integration,easy
119,11,4,2.6875778e-05,train,2,early_integration,easy
120,11,5,2.0600028e-05,train,2,early_integration,easy
121,12,1,0.008051355,train,2,early_integration,easy
122,12,2,0.0059686946,train,2,early_integration,easy
123,12,3,0.00038970198,train,2,early_integration,easy
124,12,4,0.00026732817,train,2,early_integration,easy
125,12,5,0.0014249892,train,2,early_integration,easy
126,13,1,0.05290539,train,2,early_integration,easy
127,13,2,0.04928538,train,2,early_integration,easy
128,13,3,0.03119079,train,2,early_integration,easy
129,13,4,0.022905326,train,2,early_integration,easy
130,13,5,0.02591794,train,2,early_integration,easy
131,14,1,0.97836834,train,2,early_integration,easy
132,14,2,0.98591655,train,2,early_integration,easy
133,14,3,0.9913349,train,2,early_integration,easy
134,14,4,0.9834465,train,2,early_integration,easy
135,14,5,0.9890622,train,2,early_integration,easy
136,15,1,0.9988462,train,2,early_integration,easy
137,15,2,0.99940825,train,2,early_integration,easy
138,15,3,0.997729,train,2,early_integration,easy
139,15,4,0.99884,train,2,early_integration,easy
140,15,5,0.9998931,train,2,early_integration,easy
141,16,1,0.99997646,train,2,early_integration,easy
142,16,2,1.0,train,2,early_integration,easy
143,16,3,0.9999999,train,2,early_integration,easy
144,16,4,1.0,train,2,early_integration,easy
145,11,1,0.001743249,test,2,early_integration,easy
146,11,2,0.00017057752,test,2,early_integration,easy
147,11,3,4.848031e-06,test,2,early_integration,easy
148,11,4,2.1948313e-06,test,2,early_integration,easy
149,11,5,1.686117e-05,test,2,early_integration,easy
150,12,1,0.012905166,test,2,early_integration,easy
151,12,2,0.011345452,test,2,early_integration,easy
152,12,3,0.0011953077,test,2,early_integration,easy
153,12,4,0.00014837617,test,2,early_integration,easy
154,12,5,0.0023883688,test,2,early_integration,easy
155,13,1,0.103427835,test,2,early_integration,easy
156,13,2,0.08838192,test,2,early_integration,easy
157,13,3,0.058909453,test,2,early_integration,easy
158,13,4,0.02846786,test,2,early_integration,easy
159,13,5,0.038892202,test,2,early_integration,easy
160,14,1,0.95204496,test,2,early_integration,easy
161,14,2,0.9690526,test,2,early_integration,easy
162,14,3,0.9818213,test,2,early_integration,easy
163,14,4,0.9761347,test,2,early_integration,easy
164,14,5,0.97609156,test,2,early_integration,easy
165,15,1,0.9891194,test,2,early_integration,easy
166,15,2,0.9969421,test,2,early_integration,easy
167,15,3,0.99483323,test,2,early_integration,easy
168,15,4,0.9977132,test,2,early_integration,easy
169,15,5,0.9998604,test,2,early_integration,easy
170,16,1,0.99999,test,2,early_integration,easy
171,16,2,0.99999994,test,2,early_integration,easy
172,16,3,0.99999535,test,2,early_integration,easy
173,16,4,1.0,test,2,early_integration,easy
0,11,1,0.004237475,train,0,early_integration,medium
1,11,2,0.0024609931,train,0,early_integration,medium
2,11,3,5.9861322e-05,train,0,early_integration,medium
3,11,4,7.712908e-06,train,0,early_integration,medium
4,11,5,4.1919473e-05,train,0,early_integration,medium
5,12,1,0.0318887,train,0,early_integration,medium
6,12,2,0.016601736,train,0,early_integration,medium
7,12,3,0.01228413,train,0,early_integration,medium
8,12,4,0.009251317,train,0,early_integration,medium
9,12,5,0.011797164,train,0,early_integration,medium
10,13,1,0.12805821,train,0,early_integration,medium
11,13,2,0.13298896,train,0,early_integration,medium
12,13,3,0.09650629,train,0,early_integration,medium
13,13,4,0.05980559,train,0,early_integration,medium
14,13,5,0.08771905,train,0,early_integration,medium
15,14,1,0.94887424,train,0,early_integration,medium
16,14,2,0.91797304,train,0,early_integration,medium
17,14,3,0.9542918,train,0,early_integration,medium
18,14,4,0.9635978,train,0,early_integration,medium
19,14,5,0.96639985,train,0,early_integration,medium
20,15,1,0.99080586,train,0,early_integration,medium
21,15,2,0.98108345,train,0,early_integration,medium
22,15,3,0.9951985,train,0,early_integration,medium
23,15,4,0.994902,train,0,early_integration,medium
24,15,5,0.9948686,train,0,early_integration,medium
25,16,1,0.9999455,train,0,early_integration,medium
26,16,2,0.999125,train,0,early_integration,medium
27,16,3,0.9984103,train,0,early_integration,medium
28,16,4,0.9999003,train,0,early_integration,medium
29,11,1,0.01020186,test,0,early_integration,medium
30,11,2,0.00075098686,test,0,early_integration,medium
31,11,3,0.00059214205,test,0,early_integration,medium
32,11,4,1.49393345e-05,test,0,early_integration,medium
33,11,5,0.00019118871,test,0,early_integration,medium
34,12,1,0.041999735,test,0,early_integration,medium
35,12,2,0.029623065,test,0,early_integration,medium
36,12,3,0.029715812,test,0,early_integration,medium
37,12,4,0.009927181,test,0,early_integration,medium
38,12,5,0.029060531,test,0,early_integration,medium
39,13,1,0.20534116,test,0,early_integration,medium
40,13,2,0.18137379,test,0,early_integration,medium
41,13,3,0.1416457,test,0,early_integration,medium
42,13,4,0.10842598,test,0,early_integration,medium
